Series Name,Title ID,Title,ISBN 10,ISBN 13,Imprint,List Price,ISBN ID,Author
Nonfiction — Young Adult,23505,ISIS,1512429988,9781512429985,Twenty-First Century Books ™,37.32,48308,Brendan  January
Nonfiction — Young Adult,21393,3D Printing,1512448605,9781512448603,Twenty-First Century Books ™,55.99,54566,Melissa Koch
Nonfiction — Young Adult,21250,Addiction and Overdose,1512448613,9781512448610,Twenty-First Century Books ™,55.99,54567,Connie Goldsmith
Nonfiction — Young Adult,23176,Artificial Intelligence,1512448621,9781512448627,Twenty-First Century Books ™,53.32,54568,Stephanie Sammartino McPherson
Nonfiction — Young Adult,21391,Black Holes,151244863X,9781512448634,Twenty-First Century Books ™,55.99,54569,Sara Latta
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,1512448648,9781512448641,Twenty-First Century Books ™,53.32,54570,Jennifer Swanson
Nonfiction — Young Adult,23505,ISIS,1512448656,9781512448658,Twenty-First Century Books ™,55.99,54571,Brendan  January
Nonfiction — Young Adult,21311,Trashing the Planet,1512448664,9781512448665,Twenty-First Century Books ™,55.99,54572,Stuart A. Kallen
Nonfiction — Young Adult,21393,3D Printing,151246774X,9781512467741,Twenty-First Century Books ™,9.99,68908,Melissa Koch
Nonfiction — Young Adult,21393,3D Printing,1512467758,9781512467758,Twenty-First Century Books ™,9.99,68909,Melissa Koch
Nonfiction — Young Adult,21393,3D Printing,1512467766,9781512467765,Twenty-First Century Books ™,55.99,68910,Melissa Koch
Nonfiction — Young Adult,21250,Addiction and Overdose,1512467774,9781512467772,Twenty-First Century Books ™,9.99,68911,Connie Goldsmith
Nonfiction — Young Adult,21250,Addiction and Overdose,1512467782,9781512467789,Twenty-First Century Books ™,9.99,68912,Connie Goldsmith
Nonfiction — Young Adult,21250,Addiction and Overdose,1512467790,9781512467796,Twenty-First Century Books ™,55.99,68913,Connie Goldsmith
Nonfiction — Young Adult,23176,Artificial Intelligence,1512467804,9781512467802,Twenty-First Century Books ™,9.99,68914,Stephanie Sammartino McPherson
Nonfiction — Young Adult,23176,Artificial Intelligence,1512467812,9781512467819,Twenty-First Century Books ™,9.99,68915,Stephanie Sammartino McPherson
Nonfiction — Young Adult,23176,Artificial Intelligence,1512467820,9781512467826,Twenty-First Century Books ™,53.32,68916,Stephanie Sammartino McPherson
Nonfiction — Young Adult,21391,Black Holes,1512467839,9781512467833,Twenty-First Century Books ™,9.99,68917,Sara Latta
Nonfiction — Young Adult,21391,Black Holes,1512467847,9781512467840,Twenty-First Century Books ™,9.99,68918,Sara Latta
Nonfiction — Young Adult,21391,Black Holes,1512467855,9781512467857,Twenty-First Century Books ™,55.99,68919,Sara Latta
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,1512467863,9781512467864,Twenty-First Century Books ™,9.99,68920,Jennifer Swanson
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,1512467871,9781512467871,Twenty-First Century Books ™,9.99,68921,Jennifer Swanson
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,151246788X,9781512467888,Twenty-First Century Books ™,53.32,68922,Jennifer Swanson
Nonfiction — Young Adult,23505,ISIS,1512467898,9781512467895,Twenty-First Century Books ™,9.99,68923,Brendan  January
Nonfiction — Young Adult,23505,ISIS,1512467901,9781512467901,Twenty-First Century Books ™,9.99,68924,Brendan  January
Nonfiction — Young Adult,23505,ISIS,151246791X,9781512467918,Twenty-First Century Books ™,55.99,68925,Brendan  January
Nonfiction — Young Adult,20003,Whale Quest,1512467928,9781512467925,Twenty-First Century Books ™,9.99,68926,Karen Romano Young
Nonfiction — Young Adult,20003,Whale Quest,1512467936,9781512467932,Twenty-First Century Books ™,9.99,68927,Karen Romano Young
Nonfiction — Young Adult,20003,Whale Quest,1512467944,9781512467949,Twenty-First Century Books ™,55.99,68928,Karen Romano Young
Nonfiction — Young Adult,21311,Trashing the Planet,1512467952,9781512467956,Twenty-First Century Books ™,9.99,68929,Stuart A. Kallen
Nonfiction — Young Adult,21311,Trashing the Planet,1512467960,9781512467963,Twenty-First Century Books ™,9.99,68930,Stuart A. Kallen
Nonfiction — Young Adult,21311,Trashing the Planet,1512467979,9781512467970,Twenty-First Century Books ™,55.99,68931,Stuart A. Kallen
Nonfiction — Young Adult,19999,Tying the Knot,146779242X,9781467792424,Twenty-First Century Books ™,35.99,38539,Amber J. Keyser
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1512413135,9781512413137,Twenty-First Century Books ™,39.98,41736,Kari Cornell
Nonfiction — Young Adult,23243,Vaccination Investigation,1512425303,9781512425307,Twenty-First Century Books ™,37.32,47756,Tara Haelle
Nonfiction — Young Adult,23244,Underneath It All,1512425311,9781512425314,Twenty-First Century Books ™,37.32,47757,Amber J. Keyser
Nonfiction — Young Adult,23348,Lighting Up the Brain,1512427527,9781512427523,Twenty-First Century Books ™,35.99,47952,Marc Zimmer
Nonfiction — Young Adult,19999,Tying the Knot,1512428469,9781512428469,Twenty-First Century Books ™,53.32,48047,Amber J. Keyser
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,1512429996,9781512429992,Twenty-First Century Books ™,37.32,48309,Michael J. Rosen
Nonfiction — Young Adult,23517,Economic Inequality,1512431079,9781512431070,Twenty-First Century Books ™,37.32,48376,Coral Celeste Frazer
Nonfiction — Young Adult,26513,Fandom,1512450499,9781512450491,Twenty-First Century Books ™,37.32,54751,Francesca Davis DiPiazza
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1512498815,9781512498813,Twenty-First Century Books ™,59.99,72073,Kari Cornell
Nonfiction — Young Adult,23243,Vaccination Investigation,1512498823,9781512498820,Twenty-First Century Books ™,55.99,72074,Tara Haelle
Nonfiction — Young Adult,23244,Underneath It All,1512498831,9781512498837,Twenty-First Century Books ™,55.99,72075,Amber J. Keyser
Nonfiction — Young Adult,23348,Lighting Up the Brain,151249884X,9781512498844,Twenty-First Century Books ™,53.32,72076,Marc Zimmer
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,1512498858,9781512498851,Twenty-First Century Books ™,55.99,72077,Michael J. Rosen
Nonfiction — Young Adult,23517,Economic Inequality,1512498866,9781512498868,Twenty-First Century Books ™,55.99,72078,Coral Celeste Frazer
Nonfiction — Young Adult,26513,Fandom,1512498874,9781512498875,Twenty-First Century Books ™,55.99,72079,Francesca Davis DiPiazza
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1541521870,9781541521872,Twenty-First Century Books ™,9.99,75662,Kari Cornell
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1541521889,9781541521889,Twenty-First Century Books ™,9.99,75663,Kari Cornell
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1541521897,9781541521896,Twenty-First Century Books ™,59.99,75664,Kari Cornell
Nonfiction — Young Adult,23517,Economic Inequality,1541521900,9781541521902,Twenty-First Century Books ™,9.99,75665,Coral Celeste Frazer
Nonfiction — Young Adult,23517,Economic Inequality,1541521919,9781541521919,Twenty-First Century Books ™,9.99,75666,Coral Celeste Frazer
Nonfiction — Young Adult,23517,Economic Inequality,1541521927,9781541521926,Twenty-First Century Books ™,55.99,75667,Coral Celeste Frazer
Nonfiction — Young Adult,26513,Fandom,1541521935,9781541521933,Twenty-First Century Books ™,9.99,75668,Francesca Davis DiPiazza
Nonfiction — Young Adult,26513,Fandom,1541521943,9781541521940,Twenty-First Century Books ™,9.99,75669,Francesca Davis DiPiazza
Nonfiction — Young Adult,26513,Fandom,1541521951,9781541521957,Twenty-First Century Books ™,55.99,75670,Francesca Davis DiPiazza
Nonfiction — Young Adult,23348,Lighting Up the Brain,154152196X,9781541521964,Twenty-First Century Books ™,9.99,75671,Marc Zimmer
Nonfiction — Young Adult,23348,Lighting Up the Brain,1541521978,9781541521971,Twenty-First Century Books ™,9.99,75672,Marc Zimmer
Nonfiction — Young Adult,23348,Lighting Up the Brain,1541521986,9781541521988,Twenty-First Century Books ™,53.32,75673,Marc Zimmer
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,1541521994,9781541521995,Twenty-First Century Books ™,9.99,75674,Michael J. Rosen
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,1541522001,9781541522008,Twenty-First Century Books ™,9.99,75675,Michael J. Rosen
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,154152201X,9781541522015,Twenty-First Century Books ™,55.99,75676,Michael J. Rosen
Nonfiction — Young Adult,19999,Tying the Knot,1541522028,9781541522022,Twenty-First Century Books ™,9.99,75677,Amber J. Keyser
Nonfiction — Young Adult,19999,Tying the Knot,1541522036,9781541522039,Twenty-First Century Books ™,9.99,75678,Amber J. Keyser
Nonfiction — Young Adult,19999,Tying the Knot,1541522044,9781541522046,Twenty-First Century Books ™,53.32,75679,Amber J. Keyser
Nonfiction — Young Adult,23244,Underneath It All,1541522052,9781541522053,Twenty-First Century Books ™,9.99,75680,Amber J. Keyser
Nonfiction — Young Adult,23244,Underneath It All,1541522060,9781541522060,Twenty-First Century Books ™,9.99,75681,Amber J. Keyser
Nonfiction — Young Adult,23244,Underneath It All,1541522079,9781541522077,Twenty-First Century Books ™,55.99,75682,Amber J. Keyser
Nonfiction — Young Adult,23243,Vaccination Investigation,1541522087,9781541522084,Twenty-First Century Books ™,9.99,75683,Tara Haelle
Nonfiction — Young Adult,23243,Vaccination Investigation,1541522095,9781541522091,Twenty-First Century Books ™,9.99,75684,Tara Haelle
Nonfiction — Young Adult,23243,Vaccination Investigation,1541522109,9781541522107,Twenty-First Century Books ™,55.99,75685,Tara Haelle
"Visual Geography Series, Second Series",8829,Bangladesh in Pictures,1541552849,9781541552845,Twenty-First Century Books ™,18.99,90198,Tom Streissguth
"Visual Geography Series, Second Series",8821,Dominican Republic in Pictures,1541552857,9781541552852,Twenty-First Century Books ™,18.99,90199,Christine Zuchora-Walske
"Visual Geography Series, Second Series",1558,Italy in Pictures,1541552865,9781541552869,Twenty-First Century Books ™,18.99,90200,Alison Behnke
"Visual Geography Series, Second Series",2964,Ghana in Pictures,1541552873,9781541552876,Twenty-First Century Books ™,18.99,90201,Yvette  La Pierre
"Visual Geography Series, Second Series",2947,Kenya in Pictures,1541552881,9781541552883,Twenty-First Century Books ™,18.99,90202,Catherine  Broberg
"Visual Geography Series, Second Series",3450,Malaysia in Pictures,154155289X,9781541552890,Twenty-First Century Books ™,18.99,90203,Francesca DiPiazza
"Visual Geography Series, Second Series",2950,Mexico in Pictures,1541552903,9781541552906,Twenty-First Century Books ™,18.99,90204,Janice  Hamilton
"Visual Geography Series, Second Series",8037,Taiwan in Pictures,1541552911,9781541552913,Twenty-First Century Books ™,18.99,90205,Alison Behnke
"Visual Geography Series, Second Series",2086,Thailand in Pictures,154155292X,9781541552920,Twenty-First Century Books ™,18.99,90206,Stacy  Taus-Bolstad
"Visual Geography Series, Second Series",9537,Zambia in Pictures,1541552938,9781541552937,Twenty-First Century Books ™,18.99,90207,Bella Waters
Nonfiction — Young Adult,26514,Pandemic,1512452157,9781512452150,Twenty-First Century Books ™,42.65,54915,Connie Goldsmith
Nonfiction — Young Adult,33106,Diet for a Changing Climate,1512481211,9781512481211,Twenty-First Century Books ™,37.32,70288,Christy Mihaly; Sue Heavenrich
Nonfiction — Young Adult,33178,Extreme Longevity,1512483729,9781512483727,Twenty-First Century Books ™,37.32,70451,Karen Latchana Kenney
Nonfiction — Young Adult,33179,Snakebite!,1512483737,9781512483734,Twenty-First Century Books ™,37.32,70452,Charles C. Hofer
Nonfiction — Young Adult,33329,Animals Go to War,1512498041,9781512498042,Twenty-First Century Books ™,37.32,71946,Connie Goldsmith
Nonfiction — Young Adult,33330,Shark Quest,151249805X,9781512498059,Twenty-First Century Books ™,37.32,71947,Karen Romano Young
